SEX,EDUCATION,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,Default 
0,4,24,2,2,-1,-1,-2,-2,1
0,4,26,-1,2,0,0,0,2,1
0,4,34,0,0,0,0,0,0,0
0,4,37,0,0,0,0,0,0,0
1,4,57,-1,0,-1,0,0,0,0
1,3,37,0,0,0,0,0,0,0
1,3,29,0,0,0,0,0,0,0
0,4,23,0,-1,-1,0,0,-1,0
0,2,28,0,0,2,0,0,0,0
1,2,35,-2,-2,-2,-2,-1,-1,0
0,2,34,0,0,2,0,0,-1,0
0,3,51,-1,-1,-1,-1,-1,2,0
0,4,41,-1,0,-1,-1,-1,-1,0
1,4,30,1,2,2,0,0,2,1
1,3,29,0,0,0,0,0,0,0
0,2,23,1,2,0,0,0,0,0
1,3,24,0,0,2,2,2,2,1
1,3,49,0,0,0,-1,-1,-1,0
0,3,49,1,-2,-2,-2,-2,-2,0
0,3,29,1,-2,-2,-2,-2,-2,0
0,2,39,0,0,0,0,0,-1,0
0,4,39,-1,-1,-1,-1,-1,-1,1
0,4,26,2,0,0,2,2,2,1
0,3,40,-2,-2,-2,-2,-2,-2,1
1,3,23,0,0,0,-1,0,0,0
1,2,23,0,0,0,0,0,0,0
1,3,27,1,-2,-1,-1,-1,-1,1
0,2,30,0,0,0,0,0,0,0
0,2,47,-1,-1,-1,-1,-1,-1,0
1,3,26,0,0,0,0,0,0,0
0,3,27,-1,-1,-1,-1,-1,-1,0
1,4,33,2,0,0,0,0,0,1
1,3,32,0,0,0,0,0,0,0
0,4,54,-2,-2,-2,-2,-2,-2,0
1,3,58,-2,-2,-2,-2,-2,-2,0
1,3,30,-1,-1,-2,-2,-2,-1,0
1,4,40,0,0,0,0,0,0,0
0,4,22,0,0,0,0,0,-1,0
1,3,25,1,-1,-1,-2,-2,-2,1
1,3,31,-1,-1,2,-1,0,-1,0
1,3,33,0,0,0,0,0,0,0
0,3,25,0,0,0,0,0,0,0
1,4,22,0,0,0,0,0,0,0
0,4,37,0,0,0,0,0,0,0
0,3,30,0,0,0,2,0,0,0
1,3,29,-2,-2,-2,-2,-2,-2,1
0,3,22,0,0,2,-1,0,0,1
0,1,46,0,0,-1,0,0,-2,1
1,4,32,-1,-1,-1,-1,-1,-1,0
1,3,24,0,0,0,0,0,0,0
1,2,42,1,2,2,2,2,0,1
0,2,43,0,0,0,0,0,0,0
0,4,49,-2,-2,-2,-2,-2,-2,0
0,3,25,1,2,0,0,0,0,0
0,3,29,2,0,0,0,0,0,0
0,3,45,-2,-2,-2,-2,-2,-2,0
0,2,34,0,0,0,-1,-1,-1,0
0,4,34,0,0,0,0,0,0,0
0,3,34,-1,3,2,2,2,2,0
0,4,29,0,0,0,0,0,0,0
0,2,28,0,0,0,0,0,0,1
1,4,39,0,0,0,0,0,-1,0
1,3,29,2,2,2,2,2,2,1
0,4,46,0,0,0,-2,-2,-2,1
0,4,51,-1,-1,-2,-2,-1,-1,0
1,3,57,-2,-2,-2,-1,2,2,1
1,4,56,2,2,2,0,0,0,1
0,3,30,2,-1,-1,-1,-1,-1,0
0,2,29,1,-2,-2,-1,2,-1,0
1,1,22,2,0,0,0,0,0,0
1,3,31,-1,-1,-1,-1,-1,-1,0
1,4,29,2,2,2,2,2,2,1
0,4,32,-1,-1,-1,-1,2,-1,0
0,3,37,1,-2,-1,-1,-1,-1,0
1,3,32,-1,-1,-1,-1,-1,-1,0
1,4,24,0,0,2,0,0,0,0
1,2,25,-1,0,0,0,0,0,0
0,3,45,-1,-1,-1,-1,-1,-1,0
0,4,22,0,0,0,0,0,0,1
0,4,44,1,-2,-2,-2,-2,-2,1
0,2,33,0,0,0,0,0,0,0
0,3,26,0,0,0,0,0,-1,0
1,2,30,0,0,0,0,0,0,1
0,4,44,0,0,2,0,0,0,0
0,2,49,0,0,0,0,0,0,0
1,4,33,0,0,0,0,0,0,0
0,3,45,-1,-1,2,0,-1,-1,1
0,4,32,0,0,0,0,0,-1,0
0,3,35,0,0,0,-1,-1,-1,0
1,2,44,2,2,0,0,0,2,0
1,3,53,2,2,2,2,2,2,1
0,3,39,-1,-1,-1,0,0,-2,0
0,3,27,-2,-2,-2,-2,-2,-2,0
0,4,37,-1,-1,-1,-1,-1,-2,0
0,4,23,0,0,0,0,0,0,0
1,4,35,0,0,0,0,0,0,0
1,3,43,-1,-1,-1,-1,-1,0,0
1,3,27,0,0,0,0,0,0,0
0,2,22,0,0,0,0,0,0,0
1,4,38,0,0,0,0,0,-1,1
1,3,32,-2,-2,-2,-2,-2,-2,0
0,3,30,-2,-2,-1,0,0,0,0
1,3,63,0,0,0,2,2,0,0
0,2,22,0,0,0,0,0,0,1
0,4,26,2,2,2,2,2,0,0
0,4,24,-1,-1,-2,-2,-2,-1,0
0,4,36,-1,-1,-1,-1,-1,-1,0
1,3,52,-1,-1,-1,-1,-1,-1,0
1,4,38,0,0,0,-1,-1,-1,0
1,4,35,1,-2,-2,-2,-2,-2,0
0,3,31,0,0,2,0,0,0,0
