Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,HDD,SSD,Gpu_brand,PRICE
Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,0,128,Intel,71378.6832
Apple,Ultrabook,13.3,1440x900,8,Mac,1.34,0,0,Intel Core i5,0,0,Intel,47895.5232
HP,Notebook,15.6,1920x1080,8,Others/No OS/Linux,1.86,0,0,Intel Core i5,0,256,Intel,30636.0
Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,0,512,AMD,135195.33599999998
Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,0,256,Intel,96095.808
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,AMD Processor,500,0,AMD,21312.0
Apple,Ultrabook,15.4,2880x1800,16,Mac,2.04,0,1,Intel Core i7,0,0,Intel,114017.6016
Apple,Ultrabook,13.3,1440x900,8,Mac,1.34,0,0,Intel Core i5,0,0,Intel,61735.536
Asus,Ultrabook,14.0,1920x1080,16,Windows,1.3,0,0,Intel Core i7,0,512,Nvidia,79653.59999999999
Acer,Ultrabook,14.0,1920x1080,8,Windows,1.6,0,1,Intel Core i5,0,256,Intel,41025.6
HP,Notebook,15.6,1366x768,4,Others/No OS/Linux,1.86,0,0,Intel Core i5,500,0,Intel,20986.992
HP,Notebook,15.6,1920x1080,4,Others/No OS/Linux,1.86,0,0,Intel Core i3,500,0,Intel,18381.0672
Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,0,256,AMD,130001.6016
Dell,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Intel Core i3,0,256,AMD,26581.392
Apple,Ultrabook,12.0,2304x1440,8,Mac,0.92,0,1,Other Intel Processor,0,256,Intel,67260.672
Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,0,256,Intel,80908.344
Dell,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i7,0,256,AMD,39693.6
Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,0,512,AMD,152274.24
Lenovo,Notebook,15.6,1920x1080,8,Others/No OS/Linux,2.2,0,0,Intel Core i3,1000,0,Nvidia,26586.72
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.22,1,1,Intel Core i5,0,128,Intel,52161.12
Asus,Netbook,11.6,1366x768,2,Windows,0.98,0,0,Other Intel Processor,0,0,Intel,10224.432
Lenovo,Gaming,15.6,1920x1080,8,Windows,2.5,0,1,Intel Core i5,1000,128,Nvidia,53226.72
HP,Notebook,15.6,1366x768,4,Others/No OS/Linux,1.86,0,0,AMD Processor,500,0,AMD,13746.24
Dell,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.62,1,0,Intel Core i5,0,256,Intel,43636.32
HP,Ultrabook,15.6,1920x1080,8,Windows,1.91,0,0,Intel Core i7,0,256,Intel,35111.52
Dell,Notebook,15.6,1366x768,4,Windows,2.3,0,0,Intel Core i3,1000,0,Intel,22305.1392
Apple,Ultrabook,13.3,1440x900,8,Mac,1.35,0,0,Intel Core i5,0,0,Intel,58554.72
Dell,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i5,0,256,AMD,42624.0
Dell,Ultrabook,15.6,1920x1080,8,Windows,1.88,0,0,Intel Core i7,0,512,Intel,69157.44
HP,Notebook,17.3,1920x1080,8,Windows,2.5,0,0,Intel Core i5,1000,0,Nvidia,47738.88
