Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
9.3,0,0.016047301,4,249.8092,9,1,0,1,3735.138,20
5.92,1,0.019278216,14,48.2692,3,1,2,2,443.4228,10
17.5,0,0.016760075,10,141.618,9,1,0,1,2097.27,20
19.2,1,0.0,6,182.095,0,1,2,0,732.38,21
8.93,0,0.0,9,53.8614,1,0,2,1,994.7052,32
10.395,1,0.0,0,51.4008,3,1,2,2,556.6088,10
13.65,1,0.012741089,13,57.6588,1,0,2,1,343.5528,32
12.6,0,0.127469857,13,107.7622,5,1,2,3,4022.7636,34
16.2,1,0.016687114,5,96.9726,7,1,1,1,1076.5986,17
19.2,1,0.09444959,5,187.8214,2,1,1,1,4710.535,12
11.8,0,0.0,6,45.5402,9,1,0,1,1516.0266,20
18.5,1,0.045463773,4,144.1102,8,2,0,1,2187.153,22
15.1,1,0.1000135,6,145.4786,9,1,0,1,1589.2646,20
17.6,1,0.047257328,13,119.6782,8,2,0,1,2145.2076,22
16.35,0,0.0680243,6,196.4426,1,0,2,1,1977.426,32
9.0,1,0.069088961,2,56.3614,8,2,0,1,1547.3192,22
11.8,0,0.008596051,8,115.3492,3,1,2,2,1621.8888,10
9.0,1,0.069196376,2,54.3614,9,1,0,1,718.3982,20
12.6,0,0.034237682,7,113.2834,5,1,2,3,2303.668,34
13.35,0,0.10249212,4,230.5352,6,2,1,1,2748.4224,15
18.85,1,0.138190277,13,250.8724,1,0,2,1,3775.086,32
12.6,1,0.035399923,0,144.5444,5,1,2,3,4064.0432,34
14.6,0,0.025698134,9,196.5084,6,2,1,1,1587.2672,15
12.6,0,0.057556998,0,107.6938,4,2,0,0,214.3876,34
13.85,1,0.025896485,5,165.021,8,2,0,1,4078.025,22
13.0,0,0.099887103,9,45.906,2,1,1,1,838.908,12
7.645,1,0.066693437,13,42.3112,6,2,1,1,1065.28,15
11.65,0,0.019356132,7,39.1164,1,0,2,1,308.9312,32
5.925,1,0.161466534,4,45.5086,0,1,2,0,178.4344,21
12.6,1,0.072221801,3,43.6454,4,2,0,0,125.8362,34
19.25,0,0.170348551,4,55.7956,0,1,2,0,163.7868,21
18.6,0,0.080829372,8,96.4436,3,1,2,2,2741.7644,10
18.7,0,0.0,13,256.6672,3,1,2,2,3068.0064,10
17.85,0,0.0,1,93.1436,7,1,1,1,2174.5028,17
17.5,0,0.097904029,14,174.8738,8,2,0,1,2085.2856,22
10.0,0,0.089291137,8,146.7102,9,1,0,1,3791.0652,20
12.6,1,0.059511812,6,128.0678,5,1,2,3,2797.6916,34
8.85,1,0.113123893,14,122.5388,3,1,2,2,1609.9044,10
12.6,1,0.123111453,13,36.9874,5,1,2,3,388.1614,34
12.6,0,0.026480954,13,87.6198,5,1,2,3,2180.495,34
13.35,0,0.102511504,4,230.6352,8,2,0,1,3435.528,22
9.8,0,0.02681843,10,126.002,1,0,2,1,2150.534,32
13.6,0,0.117818348,13,192.9136,9,1,0,1,2527.3768,20
21.35,0,0.069102831,3,259.9278,3,1,2,2,6768.5228,10
12.15,1,0.042277867,3,126.5046,1,0,2,1,373.5138,32
6.42,0,0.089498926,4,178.1002,0,1,2,0,358.2004,21
19.6,0,0.0,8,153.3024,7,1,1,1,2428.8384,17
10.0,0,0.025879577,3,265.2226,7,1,1,1,5815.0972,17
15.85,1,0.121632721,0,60.622,8,2,0,1,2576.646,22
12.6,1,0.255394896,4,196.8794,4,2,0,0,780.3176,34
7.39,0,0.067779712,8,143.8812,8,2,0,1,3134.5864,22
10.195,0,0.159803853,5,141.5154,1,0,2,1,850.8924,32
9.895,1,0.028696932,3,117.0492,1,0,2,1,810.9444,32
10.895,0,0.065041581,6,196.3794,2,1,1,1,3121.2704,12
12.15,0,0.028760013,9,151.4708,2,1,1,1,4815.0656,12
7.905,0,0.010053105,13,249.0408,3,1,2,2,6258.52,10
9.195,0,0.048157338,9,106.1622,7,1,1,1,2117.244,17
8.365,0,0.071958197,7,38.0506,9,1,0,1,796.9626,20
15.1,0,0.173481304,13,194.511,8,2,0,1,4910.275,22
12.6,0,0.061082177,3,180.0344,4,2,0,0,892.172,34
10.0,0,0.0,6,246.9144,3,1,2,2,3185.1872,10
7.97,1,0.040071131,10,87.3514,7,1,1,1,1062.6168,17
12.6,0,0.012090074,6,38.2848,5,1,2,3,484.7024,34
12.6,1,0.15028599,5,51.0692,4,2,0,0,147.8076,34
12.6,0,0.026015519,13,255.8356,5,1,2,3,2543.356,34
17.7,0,0.195068226,13,185.4266,0,1,2,0,184.4266,21
19.35,0,0.033082215,10,172.5738,6,2,1,1,4865.6664,15
13.65,1,0.078946455,4,186.024,7,1,1,1,1118.544,17
17.6,0,0.041700756,14,164.8526,7,1,1,1,2302.3364,17
8.645,0,0.143422643,8,95.841,8,2,0,1,2027.361,22
15.6,1,0.105296072,13,170.1764,8,2,0,1,3435.528,22
15.85,1,0.121531501,0,59.222,1,0,2,1,599.22,32
18.25,0,0.0,15,164.7526,7,1,1,1,4604.6728,17
7.855,0,0.011324862,3,189.6188,2,1,1,1,2285.0256,12
7.825,0,0.186357148,9,254.3698,9,1,0,1,5580.7356,20
8.39,1,0.024205661,5,114.0176,8,2,0,1,2290.352,22
12.85,0,0.033230816,13,172.3422,9,1,0,1,1207.0954,20
12.6,0,0.113720344,0,89.9804,4,2,0,0,643.1628,34
19.0,0,0.112556507,5,104.9622,2,1,1,1,1587.933,12
5.905,0,0.0,3,222.5456,7,1,1,1,5305.0944,17
7.76,0,0.059352241,13,101.87,8,2,0,1,1697.79,22
11.8,1,0.014087057,5,180.3344,8,2,0,1,1427.4752,22
16.75,0,0.045230944,13,187.9556,3,1,2,2,4693.89,10
12.6,0,0.293417759,9,194.6136,4,2,0,0,583.2408,34
12.6,1,0.031382044,0,171.3764,5,1,2,3,3091.9752,34
15.5,1,0.12639886,6,177.0028,2,1,1,1,2479.4392,12
6.055,0,0.025403898,6,160.992,6,2,1,1,2716.464,15
12.6,1,0.039057677,2,155.963,5,1,2,3,3285.723,34
6.305,1,0.123115764,13,95.6436,8,2,0,1,661.8052,22
20.85,0,0.039624006,10,117.2808,9,1,0,1,1523.3504,20
20.75,0,0.040421193,6,122.173,0,1,2,0,369.519,21
8.895,0,0.105274111,4,39.9138,9,1,0,1,690.4346,20
19.6,0,0.033970195,14,55.1614,7,1,1,1,1381.535,17
19.7,0,0.053212652,6,57.893,6,2,1,1,622.523,15
9.8,0,0.024378706,8,114.5492,6,2,1,1,1274.3412,15
12.6,0,0.009714595,5,120.0414,4,2,0,0,487.3656,34
12.15,0,0.131383762,5,246.046,9,1,0,1,1231.73,20
8.75,1,0.07461309,6,187.4556,6,2,1,1,3755.112,15
12.6,0,0.028459761,9,149.9708,5,1,2,3,4363.6532,34
8.75,1,0.074627201,6,187.8556,8,2,0,1,1314.2892,22
13.3,0,0.063695084,5,151.0708,7,1,1,1,1805.6496,17
12.6,1,0.045797829,13,178.5344,5,1,2,3,2854.9504,34
8.31,1,0.115857223,13,179.1028,9,1,0,1,3896.2616,20
16.75,1,0.024832806,14,38.7822,1,0,2,1,667.7974,32
19.75,0,0.034027909,13,212.0902,3,1,2,2,3185.853,10
17.1,1,0.0467696,3,141.1838,1,0,2,1,2247.7408,32
10.5,1,0.116576702,0,163.121,1,0,2,1,1794.331,32
6.635,1,0.0,0,121.3098,7,1,1,1,2530.7058,17
12.6,0,0.278974075,14,225.372,4,2,0,0,679.116,34
14.15,0,0.035913805,14,41.4138,1,0,2,1,812.276,32
13.3,0,0.079806266,4,232.53,8,2,0,1,699.09,22
8.89,0,0.005505481,5,102.4016,2,1,1,1,2732.4432,12
12.6,1,0.064625342,10,176.937,4,2,0,0,176.437,34
12.6,0,0.071636937,13,121.7098,5,1,2,3,4097.3332,34
9.1,1,0.0,1,173.2054,7,1,1,1,3151.8972,17
7.5,0,0.032677678,5,239.0906,9,1,0,1,5942.265,20
16.85,1,0.160760054,5,192.4478,2,1,1,1,4843.695,12
7.485,0,0.06911065,13,109.0228,6,2,1,1,2542.0244,15
11.6,0,0.041177505,14,140.3154,2,1,1,1,2552.6772,12
11.65,0,0.040081193,13,227.0694,3,1,2,2,1141.847,10
13.0,0,0.035307322,9,47.5034,2,1,1,1,680.4476,12
12.65,0,0.063017847,14,159.0578,7,1,1,1,2085.9514,17
20.25,1,0.171938781,3,92.512,0,1,2,0,186.424,21
8.6,1,0.040197932,3,190.153,6,2,1,1,3036.048,15
12.6,0,0.049058014,1,62.7194,2,1,1,1,866.8716,12
17.7,0,0.01161096,5,95.041,6,2,1,1,868.869,15
14.15,0,0.183507295,14,82.4276,8,2,0,1,1137.1864,22
19.25,0,0.102349519,4,52.7956,2,1,1,1,928.1252,12
8.88,0,0.086708987,7,151.7682,1,0,2,1,762.341,32
20.5,0,0.032835147,9,40.2822,7,1,1,1,707.0796,17
12.6,0,0.033809913,3,180.5976,5,1,2,3,7968.2944,34
13.5,0,0.07266912,9,160.292,8,2,0,1,1438.128,22
12.6,0,0.144338493,8,224.4404,5,1,2,3,6976.2524,34
8.89,0,0.009163216,5,101.7016,0,1,2,0,101.2016,21
7.855,0,0.011307038,3,188.5188,3,1,2,2,952.094,10
7.235,0,0.076855628,9,116.0492,8,2,0,1,1969.4364,22
12.6,0,0.059956876,15,165.4526,5,1,2,3,5262.4832,34
6.92,0,0.038532062,4,60.5852,7,1,1,1,1314.2892,17
9.3,0,0.043209581,6,90.8172,2,1,1,1,535.3032,12
18.5,0,0.056816465,11,132.1284,0,1,2,0,263.6568,21
8.02,0,0.019866705,9,154.5972,6,2,1,1,1402.1748,15
9.195,0,0.048331717,9,105.1622,2,1,1,1,1693.7952,12
12.8,0,0.091221855,11,105.5938,7,1,1,1,2143.876,17
16.6,0,0.027622076,9,177.6344,9,1,0,1,2676.516,20
14.0,1,0.0,5,53.064,6,2,1,1,905.488,15
18.6,0,0.039355947,5,246.3802,9,1,0,1,7370.406,20
16.0,0,0.060836524,15,226.8404,6,2,1,1,6301.1312,15
17.6,0,0.082316506,8,160.692,6,2,1,1,1597.92,15
21.25,0,0.155350299,13,178.237,6,2,1,1,529.311,15
7.235,0,0.076841095,9,117.5492,6,2,1,1,1969.4364,15
14.6,0,0.151419185,14,50.3692,2,1,1,1,1034.6532,12
13.85,1,0.026001976,5,161.521,3,1,2,2,1794.331,10
13.65,1,0.073209447,5,197.6426,3,1,2,2,2768.3964,10
12.6,0,0.041683481,14,31.29,5,1,2,3,898.83,34
7.365,0,0.042560252,6,226.172,8,2,0,1,3169.208,22
18.35,0,0.014081156,9,223.5746,3,1,2,2,3589.9936,10
5.465,1,0.0,0,132.5626,3,1,2,2,262.3252,10
18.6,0,0.152918384,2,99.8358,2,1,1,1,1910.1802,12
13.85,0,0.030969274,14,140.9154,2,1,1,1,1701.7848,12
14.0,1,0.060376776,5,154.5656,1,0,2,1,2471.4496,32
14.0,1,0.04192285,13,54.764,1,0,2,1,1331.6,32
12.6,0,0.077367431,6,97.0094,5,1,2,3,1808.9786,34
5.905,0,0.045838211,3,222.5456,3,1,2,2,3315.684,10
7.27,0,0.071077939,14,114.2518,8,2,0,1,2618.5914,22
6.155,1,0.094659871,10,214.556,8,2,0,1,2769.728,22
19.5,1,0.077608838,14,233.4958,2,1,1,1,5375.0034,12
15.2,0,0.021327477,3,216.8824,2,1,1,1,2838.9712,12
12.15,1,0.042485444,3,125.0046,3,1,2,2,1743.0644,10
12.6,0,0.025578526,9,198.8084,5,1,2,3,5555.4352,34
12.6,0,0.0489808,1,61.9194,3,1,2,2,619.194,10
14.5,0,0.019471688,11,164.821,6,2,1,1,2120.573,15
16.6,0,0.122918852,6,173.0738,2,1,1,1,3823.0236,12
11.8,1,0.057373797,10,151.4366,1,0,2,1,1360.2294,32
13.1,1,0.044155597,6,178.8318,1,0,2,1,3969.4996,32
17.7,0,0.291865402,6,115.1834,0,1,2,0,345.5502,21
17.85,0,0.0,1,196.5794,0,1,2,0,585.2382,21
12.3,1,0.064750025,15,92.6804,7,1,1,1,1010.6844,17
11.8,0,0.098312421,8,81.4618,0,1,2,0,161.1236,21
12.6,1,0.191013663,14,42.1112,4,2,0,0,42.6112,34
11.1,0,0.176573035,0,157.4604,7,1,1,1,3010.7476,17
12.6,1,0.060134441,5,153.0656,5,1,2,3,6024.1584,34
11.3,0,0.007294652,10,198.1426,7,1,1,1,988.713,17
12.6,0,0.128478462,8,117.944,4,2,0,0,239.688,34
5.75,1,0.075107656,4,112.8176,1,0,2,1,1374.2112,32
12.6,1,0.049381406,0,226.8062,5,1,2,3,4739.8302,34
11.35,1,0.045165796,13,100.0016,3,1,2,2,1012.016,10
12.6,1,0.09415375,6,165.7526,4,2,0,0,657.8104,34
14.0,0,0.028907832,8,130.431,9,1,0,1,778.986,20
19.75,1,0.018059621,5,179.766,7,1,1,1,2336.958,17
6.525,0,0.090436094,9,85.0882,9,1,0,1,2233.0932,20
10.3,0,0.146399712,10,103.9648,9,1,0,1,1661.8368,20
5.78,1,0.074264356,13,264.7568,9,1,0,1,4745.8224,20
11.85,1,0.050186726,6,164.1526,7,1,1,1,3124.5994,17
16.35,0,0.020631654,6,50.1324,3,1,2,2,467.3916,10
12.6,0,0.01561108,9,182.5976,5,1,2,3,5070.7328,34
10.5,0,0.041395445,6,37.6164,8,2,0,1,540.6296,22
19.0,1,0.097313129,5,48.0718,8,2,0,1,992.7078,22
14.6,0,0.059582996,11,238.8538,9,1,0,1,6008.845,20
12.6,1,0.098663652,4,62.9194,5,1,2,3,2105.2596,34
12.6,1,0.101338651,3,232.63,5,1,2,3,5359.69,34
18.75,0,0.052146456,8,104.628,7,1,1,1,745.696,17
5.26,1,0.041764487,0,161.8868,6,2,1,1,3275.736,15
18.25,0,0.054344186,13,140.2154,7,1,1,1,1701.7848,17
12.6,0,0.078362484,0,177.937,5,1,2,3,6704.606,34
15.1,0,0.052339069,10,242.7512,8,2,0,1,4119.9704,22
15.5,1,0.042464962,0,81.5934,0,1,2,0,327.5736,21
13.65,0,0.065732883,5,45.7402,9,1,0,1,780.9834,20
16.1,0,0.023625114,14,189.3846,7,1,1,1,3630.6074,17
12.6,1,0.051643608,13,107.3622,4,2,0,0,317.5866,34
12.85,0,0.165694219,5,39.7164,0,1,2,0,231.6984,21
9.5,0,0.041878397,14,32.99,6,2,1,1,133.16,15
13.8,0,0.058091482,4,245.1802,6,2,1,1,5650.6446,15
5.78,1,0.0,13,263.7568,2,1,1,1,2636.568,12
19.7,0,0.026903714,9,96.0726,7,1,1,1,1272.3438,17
14.65,0,0.0,9,161.5552,0,1,2,0,324.9104,21
6.67,1,0.150554711,13,130.0626,0,1,2,0,131.1626,21
6.11,1,0.0,6,131.2968,0,1,2,0,260.9936,21
13.65,1,0.134975628,5,260.0936,0,1,2,0,260.9936,21
17.2,0,0.15616879,10,160.6578,1,0,2,1,3690.5294,32
6.32,0,0.0,10,40.2822,6,2,1,1,1139.1838,15
4.88,1,0.133700752,0,52.9298,9,1,0,1,1995.4026,20
5.425,1,0.115119905,0,88.3514,2,1,1,1,1416.8224,12
15.85,1,0.110030997,5,37.2506,8,2,0,1,265.6542,22
7.5,0,0.051038045,3,121.7072,2,1,1,1,3552.7088,12
12.65,0,0.062837968,14,161.5578,1,0,2,1,2406.867,32
12.6,0,0.017116983,11,211.956,4,2,0,0,213.056,34
20.75,0,0.024129332,6,124.173,1,0,2,1,2956.152,32
12.6,0,0.049754975,4,152.134,4,2,0,0,153.134,34
9.0,0,0.0,3,79.7644,6,2,1,1,1649.8524,15
12.6,0,0.101561568,3,181.9292,5,1,2,3,3101.2964,34
12.6,0,0.005949644,9,165.6526,5,1,2,3,4769.1254,34
12.6,1,0.13956116,12,170.4764,5,1,2,3,3435.528,34
14.1,0,0.126035694,6,86.4198,7,1,1,1,1133.8574,17
7.55,0,0.027164679,3,152.334,6,2,1,1,2603.278,15
13.0,0,0.099325278,9,45.406,8,2,0,1,605.878,22
12.6,0,0.04357366,7,192.8846,5,1,2,3,2293.0152,34
12.6,1,0.082741482,13,118.7782,4,2,0,0,119.1782,34
12.3,1,0.064565202,15,92.9804,1,0,2,1,1929.4884,32
12.6,0,0.084554569,13,109.8912,5,1,2,3,2074.6328,34
12.6,0,0.058451805,8,79.9618,5,1,2,3,241.6854,34
17.25,0,0.113748685,9,251.3724,7,1,1,1,6795.1548,17
15.85,0,0.020603511,9,42.7112,2,1,1,1,639.168,12
18.85,0,0.052044976,8,192.1846,6,2,1,1,3248.4382,15
16.35,1,0.062764429,6,227.6062,2,1,1,1,7222.5984,12
14.1,0,0.087977262,4,229.0668,6,2,1,1,3225.1352,15
7.905,0,0.010010425,13,249.0408,6,2,1,1,3755.112,15
12.0,0,0.033946163,3,179.3976,1,0,2,1,3440.8544,32
12.15,1,0.058414678,6,163.4552,6,2,1,1,974.7312,15
10.1,0,0.027106459,10,75.367,9,1,0,1,535.969,20
17.5,0,0.027022883,5,262.491,2,1,1,1,5259.82,12
12.6,0,0.058153409,4,152.034,4,2,0,0,306.268,34
17.1,0,0.128937661,6,112.3886,3,1,2,2,1779.0176,10
7.785,0,0.088846306,6,61.451,9,1,0,1,759.012,20
11.8,1,0.09357779,13,125.9704,1,0,2,1,1877.556,32
13.15,1,0.165694678,6,171.8764,7,1,1,1,3779.0808,17
12.6,0,0.148392623,5,41.5796,4,2,0,0,41.2796,34
8.5,0,0.098438394,3,51.1324,2,1,1,1,259.662,12
8.645,0,0.143303291,8,96.341,1,0,2,1,193.082,32
17.6,1,0.076276208,10,110.9202,7,1,1,1,1687.803,17
9.1,0,0.175103435,0,127.5362,2,1,1,1,4655.9394,12
12.8,1,0.023511371,10,225.9404,1,0,2,1,4950.8888,32
7.63,0,0.06105276,14,95.4436,6,2,1,1,1418.154,15
9.285,1,0.049559042,5,246.4144,2,1,1,1,1225.072,12
13.6,1,0.119418124,4,231.03,7,1,1,1,5359.69,17
8.895,0,0.072545601,2,176.237,7,1,1,1,1764.37,17
16.35,0,0.090486828,9,195.211,1,0,2,1,2553.343,32
17.6,0,0.056245075,5,43.3454,1,0,2,1,1006.6896,32
7.975,0,0.014618973,0,85.225,1,0,2,1,1081.925,32
15.85,0,0.043479126,15,36.7164,2,1,1,1,308.9312,12
15.7,0,0.045166237,5,178.666,1,0,2,1,2516.724,32
8.985,1,0.057827101,5,128.831,8,2,0,1,1428.141,22
20.35,0,0.089394766,4,260.1594,1,0,2,1,2093.2752,32
6.59,0,0.10550944,6,85.6908,1,0,2,1,1929.4884,32
19.85,0,0.005234153,4,264.0884,6,2,1,1,5829.7448,15
16.85,0,0.036390174,13,91.4488,8,2,0,1,2082.6224,22
12.6,0,0.03292824,10,173.1738,5,1,2,3,7298.4996,34
16.75,0,0.081252534,6,256.4988,1,0,2,1,7452.9652,32
17.6,1,0.076552407,10,110.5202,2,1,1,1,450.0808,12
7.905,0,0.016758569,13,250.4408,0,1,2,0,500.6816,21
12.6,0,0.044248175,13,126.202,5,1,2,3,3668.558,34
7.785,1,0.038288087,6,103.1964,3,1,2,2,736.3748,10
7.825,0,0.186032678,9,253.0698,6,2,1,1,6088.0752,15
12.6,0,0.031867464,9,101.0016,5,1,2,3,2125.2336,34
20.75,0,0.021370201,14,153.0024,2,1,1,1,2277.036,12
12.6,0,0.193772568,6,190.3846,4,2,0,0,573.2538,34
6.26,1,0.009866049,10,151.1366,6,2,1,1,2267.049,15
18.2,0,0.082551042,6,147.3734,0,1,2,0,296.9468,21
13.0,0,0.099729888,9,46.306,3,1,2,2,559.272,10
