Intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,inter_linear_spacing,weight,peak_number,modular_ratio/inter_linear_spacing,class
0.241386,0.109171,-0.127126,0.380626,0.17234,0.314889,0.484429,0.3164119999999999,0.1888099999999999,0.134922,Marcus
0.303106,0.352558,0.082701,0.7039810000000001,0.261718,-0.391033,0.408929,1.045014,0.282354,-0.448209,Clarius
-0.116585,0.2818969999999999,0.175168,-0.15249,0.261718,-0.889332,0.371178,-0.024328,0.905984,-0.8778299999999999,Philippus
-0.32643,-0.6523939999999999,0.384996,-1.694222,-0.185173,-1.138481,-0.232828,-1.747116,-1.183175,-0.80738,Philippus
-0.437525,-0.471816,0.463236,-0.545248,0.261718,-0.972381,0.824183,-3.108388,-2.9917,-1.14103,Philippus
-0.412837,-0.346197,0.6019359999999999,2.211191,0.440474,0.356414,-1.138838,1.623671,2.371513,1.346221,Mongucus
0.0562289999999999,0.187683,-0.031104,-0.958476,0.261718,-0.598658,0.861934,-0.8852459999999999,-0.5283640000000001,-0.8489459999999999,Clarius
-0.128929,-0.03215,0.068476,-0.1516549999999999,-0.989576,-0.8062819999999999,0.295677,0.259758,0.251173,-0.767984,Clarius
0.130292,-0.275537,0.2747469999999999,-0.574878,0.261718,2.889429,0.6354310000000001,-1.180749,-0.8401790000000001,2.303929,Marcus
0.080916,0.438921,0.1431599999999999,-0.523288,0.261718,-0.598658,0.106925,-0.641641,0.1888099999999999,-0.491704,Ubuntius
-0.4745569999999999,0.446772,-3.210528,-0.7161609999999999,0.351096,2.72333,1.692443,-1.912981,-1.588534,1.500599,Marcus
0.241386,-0.157769,0.338762,-1.203923,0.261718,-0.058835,0.182426,1.066119,0.344717,-0.03555,Marcus
-0.042522,-0.29909,0.182281,1.151314,0.261718,2.100457,0.446679,-0.757551,-0.621908,1.7347099999999998,Marcus
0.117948,0.6273489999999999,0.075589,0.831628,0.261718,1.602159,2.409701,-0.742718,-0.497183,0.196511,Marcus
-0.042522,0.187683,0.224957,0.290963,0.261718,-0.01731,0.333428,0.030113,0.126447,-0.077694,Marcus
0.117948,-0.189174,0.029355,0.763359,0.887365,-1.30458,0.295677,1.811476,0.251173,-1.212661,Coronavirucus
0.377169,-0.079257,0.153829,-1.1029520000000002,0.261718,-0.266459,0.031425,1.179388,-0.0606419999999999,-0.139983,Marcus
-0.042522,-0.416858,0.569929,-2.224653,0.082961,3.346203,0.182426,-1.205406,-1.837986,3.057808,Esequlius
-0.091897,-0.118513,0.189393,1.280303,0.261718,0.564038,0.597681,0.53633,0.251173,0.297376,Marcus
0.1056039999999999,-0.149918,0.438342,0.934659,0.261718,0.0657399999999999,0.371178,-1.324733,-1.93153,-0.011066,Marcus
0.25373,0.219088,0.1431599999999999,0.720541,0.261718,-0.764757,0.031425,0.580287,-0.65309,-0.595643,Marcus
0.043885,0.274046,0.182281,0.095763,0.261718,-0.391033,0.371178,0.7493569999999999,-0.590727,-0.424966,Clarius
1.142487,0.062064,0.125378,1.0598299999999998,0.261718,0.231839,0.7864329999999999,0.211258,-0.902542,-0.107471,Marcus
0.15498,-0.16562,-3.210528,-1.32068,-0.185173,-0.01731,0.446679,0.359281,0.157628,-0.123371,Marcus
0.624046,-0.071406,0.221401,-0.586246,0.887365,-1.138481,-1.138838,0.416343,1.404887,-0.31201,Coronavirucus
0.241386,-0.43256,0.349432,-1.029281,0.261718,-0.598658,0.106925,0.110919,0.500624,-0.471933,Clarius
-0.252367,-0.149918,0.313868,-0.243616,0.261718,0.688613,-0.006326,-1.110329,-1.214356,0.757304,Marcus
0.192011,-0.251983,0.33165,0.296423,0.261718,0.024215,1.050686,0.075661,0.064084,-0.411405,Marcus
0.377169,0.179832,0.064919,-1.533962,0.261718,0.314889,0.295677,-0.2907659999999999,-0.403638,0.23592,Marcus
0.500607,-0.220579,-0.03466,0.4973229999999999,0.17234,-0.10036,0.220177,0.1857079999999999,-0.43482,-0.0764649999999999,Marcus
-0.116585,-0.0164479999999999,0.288973,0.483747,0.17234,-0.307984,-0.38383,-0.48325,0.219991,0.059336,Clarius
0.130292,-0.4639649999999999,0.338762,0.26578,0.261718,0.190314,0.106925,0.372989,0.095265,0.244298,Marcus
-0.22768,-0.997846,0.356544,-0.0269319999999999,0.261718,-0.723232,0.182426,0.505596,0.7500760000000001,-0.634075,Esequlius
-3.412392,0.148427,0.438342,-1.047781,-3.22403,-1.844403,-3.366113,2.612866,-3.802418,-2.649621,Philippus
0.031541,0.007106,-0.315616,2.791392,-0.542686,0.314889,0.975185,0.8852639999999999,-2.8669740000000004,-0.113474,Marcus
0.266074,0.580242,0.1147089999999999,-0.165469,0.261718,-0.183409,0.182426,0.4516409999999999,0.40708,-0.150869,Marcus
0.1056039999999999,0.556689,-0.031104,0.619301,0.17234,-0.764757,-0.081827,-0.318084,-0.372457,-0.5405989999999999,Marcus
0.167323,0.148427,0.278304,-0.289596,0.261718,-0.930856,0.52218,0.601954,0.594169,-0.985615,Paithonius
0.389513,0.556689,0.431229,-1.955514,0.082961,0.273364,0.144676,0.770733,0.219991,0.299004,Marcus
0.364825,-0.149918,0.107596,-1.108143,0.17234,0.314889,0.144676,1.048975,0.594169,0.345042,Marcus
0.488263,-0.49537,0.111153,0.334258,0.976743,-0.10036,-1.28984,0.391627,1.498432,0.8402790000000001,Coronavirucus
0.031541,0.666605,-0.095119,0.010217,0.17234,-0.930856,0.52218,1.013192,0.937165,-0.983312,Ubuntius
-0.264711,-0.09496,0.01513,-0.597346,0.261718,-0.058835,0.673182,-0.193806,0.469443,-0.294831,Philippus
0.031541,-2.426761,0.37077,0.77977,0.17234,0.730137,0.824183,-0.325578,0.032902,0.30291,Marcus
-3.498799,0.438921,-0.0524419999999999,-5.440122,-0.4533069999999999,0.730137,0.484429,0.0030859999999999,0.282354,0.496058,Marcus
0.09326,-1.680899,0.356544,0.180532,0.17234,0.813187,0.55993,0.489792,0.251173,0.566592,Marcus
0.1426359999999999,0.43107,0.032912,-0.486796,0.261718,-0.349509,0.55993,-0.003845,0.375899,-0.484868,Ubuntius
-0.252367,-0.401156,0.466793,0.631147,0.261718,-1.180006,-0.270579,0.11422,-0.87136,-0.8247629999999999,Philippus
0.019197,-0.283388,0.214288,0.857677,0.261718,-0.6401819999999999,0.106925,1.017017,0.219991,-0.514753,Marcus
-0.277055,-1.963541,0.616162,0.437826,0.17234,0.688613,0.446679,0.100338,-0.154186,0.476865,Esequlius
0.09326,-0.087108,-2.268081,-0.164963,0.261718,0.8962370000000001,0.182426,0.0309079999999999,0.032902,0.833456,Marcus
0.562327,-0.000745,-3.210528,-2.832246,0.261718,-0.474083,0.182426,-0.3235,-0.590727,-0.410778,Marcus
